drink_name,recipe,recipe_url,url_of_image
Copycat Brown Sugar Oat Milk Shaken Espresso,"['1 ounce espresso', '1 tablespoon brown sugar', '1/4 teaspoon ground cinnamon', '2 cups ice', '1 cup oat milk']",https://www.thespruceeats.com/copycat-brown-sugar-oat-milk-shaken-espresso-5181222,https://www.thespruceeats.com/thmb/uZaO_0gaSfOC8dz9ARASfVixjww=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/oatmilk-espresso-8-3b7f11ae7ed041208d018c2515a176e6.jpg
What is Cold Brew Coffee?,[],https://www.thespruceeats.com/what-is-cold-brew-coffee-5112590,https://www.thespruceeats.com/thmb/DHYfCRyAV1bNZ2fw4wYMRXWuYTE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/coldbrewcoffeemicrogen-95e6ef2fc2c1411bbcf1cefe5e9e6879.jpg
Copycat Starbucks Caramel Frappuccino,"['1 tablespoon instant coffee', '2 tablespoons water (divided)', 'Optional: 1/2 teaspoon xanthan gum', '1 cup whole milk', '4 tablespoons caramel sauce or syrup', '6 ice cubes', 'Garnish: whipped cream', 'Garnish: caramel sauce']",https://www.thespruceeats.com/copycat-starbucks-caramel-frappuccino-recipe-5093263,https://www.thespruceeats.com/thmb/wT0BK5qdUZNAURj5vW24ii00p94=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/opycat-starbucks-caramel-frappuccino-recipe-5093263-090-9afdda809301406da0fc182bf3b0eeee.jpg
Around the World in 20 Cups of Coffee,[],https://www.thespruceeats.com/cups-of-coffee-around-the-world-5112685,https://www.thespruceeats.com/thmb/mfIJrs_4MPsJYpjZ7yBoAZf3UQc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/delhi-style-cold-coffee-1957419-hero-01-647f344926cb4680a8183201a1e5261f.jpg
Caramel Macchiato,"['1 cup milk', '1 tablespoon vanilla syrup', '1 shot espresso', '1 tablespoon caramel sauce']",https://www.thespruceeats.com/hot-caramel-macchiato-5079776,https://www.thespruceeats.com/thmb/XJWJcgWasImTA3WgPgJ4ndHhpHQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/caramelmacchiato-2-2071439071b54bbcbc8f4b790f1d6a87.jpg
20 Coffee Desserts to Perk You Up,[],https://www.thespruceeats.com/best-coffee-desserts-4798805,https://www.thespruceeats.com/thmb/S83iSN-p_du6EcIadMW2N4t9exY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/TiramisuCake-a7bdd65a965c45debbd6a15f4077d362.jpg
Cold Brew Coffee,"['1 cup ground coffee', '4 cups water']",https://www.thespruceeats.com/cold-brew-coffee-4796803,https://www.thespruceeats.com/thmb/0Xzdt3WeOETATBNubgiM0pOKplc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/ColdBrewCoffee017-bcdb960a88f94521bb3a64a2f228e740.jpg
How To Roast Coffee Beans,[],https://www.thespruceeats.com/how-to-roast-coffee-beans-4799873,https://www.thespruceeats.com/thmb/4wjEIekB5RDliqxyjWr_STH1b80=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Coffeehoriz-1b4b85bd386f462588aa5ff81c8c5c2d.jpg
Pumpkin Spice Coffee,"['2 tablespoons ground cinnamon', '1 tablespoon ground ginger', '1 1/2 teaspoons ground nutmeg', '1/2 teaspoon ground cloves', '1 teaspoon pumpkin spice', '1/4 cup ground coffee', '1 to 2 teaspoons raw sugar']",https://www.thespruceeats.com/pumpkin-spice-coffee-5082964,https://www.thespruceeats.com/thmb/9tY_1SU9wb6RMps1PBHikcNGphU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/pumpkin-spice-coffee-recipe-5082964-041-ea212043082c4cc0bee75a18fe22030d.jpg
Whipped Coffee,"['3 tablespoons instant coffee', '3 tablespoons granulated sugar', '3 tablespoons water', '1 1/4 cups  whole milk', '1/2 teaspoon vanilla extract']",https://www.thespruceeats.com/whipped-coffee-4801748,https://www.thespruceeats.com/thmb/Vcxu8NNI7pRT5egmcxAuTJeByUc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/whipped-coffee-4801748-05-96ea0a2c8619401bbc551707dba6c395.jpg
Cuban Coffee (Cafecito),"['1/4 cup ground coffee', '1 1/2 cups water', '1/4 cup granulated sugar']",https://www.thespruceeats.com/cuban-coffee-4796807,https://www.thespruceeats.com/thmb/vJGEfrc8S_hiDlb-Z3YIkAYizfA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CubanCoffee-001-4928e640d5b7491aa223fb594285a3bf.jpg
How To Make Instant Coffee,"['1 cup powdered non-dairy creamer', '2/3 cup instant coffee', '1/3 cup cocoa powder', ""1/4 cup confectioners' sugar"", 'Optional: 1 teaspoon cardamom']",https://www.thespruceeats.com/how-to-make-instant-coffee-4843702,https://www.thespruceeats.com/thmb/ujfnkggAdcjlWuuoYjJycKdo4Q0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Instantcoffeehoriz-b123bd09bd024d2a9faaa049c876ac9c.jpg
How to Make the Best Mocha—According to the Pros,[],https://www.thespruceeats.com/how-to-make-the-best-mocha-tips-tricks-5079916,https://www.thespruceeats.com/thmb/bmB5e93BVrqaWUjzqG79-8iJN7U=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/StoryvilleMocha-e51b0dd00f96440b8a7daf0b6f327bbf.jpg
23 Coffee Recipes That Let You Be Your Own Barista,[],https://www.thespruceeats.com/best-coffee-recipes-4796504,https://www.thespruceeats.com/thmb/0Xzdt3WeOETATBNubgiM0pOKplc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/ColdBrewCoffee017-bcdb960a88f94521bb3a64a2f228e740.jpg
Pour-Over Coffee,"['10 ounces spring water', '2/3 ounce ground coffee']",https://www.thespruceeats.com/pour-over-coffee-4796809,https://www.thespruceeats.com/thmb/-XzLvlXHASjqOxZnrpAa2X9NRPg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/PourOverCoffee-003-d3f790fbb41f4b43963db49bf37550a5.jpg
Iced Caramel Macchiato,"['1 cup milk ', '1 tablespoon vanilla syrup', '1 tablespoon caramel sauce', '2 cups ice', '1/4 cup espresso ']",https://www.thespruceeats.com/iced-caramel-macchiato-5080057,https://www.thespruceeats.com/thmb/oTCgIKeQSL2upUI8UVt1Ism0Vqg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/iced-caramel-macchiato-5080057-06-bae5494a83494912bab06da8f88d166c.jpg
Flaming Spanish Coffee,"['For the cocktail:', '1 to 2 ounces\xa0rum', '1 to 2 ounces coffee-friendly liqueur\xa0(room temperature Kahlua, Amaretto, or Cointreau)', '3 ounces dark brewed coffee (lukewarm)', 'For the glass:', '2 tablespoon lemon juice', '2 tablespoons sugar (brown sugar or spiced sugar)', '1 pinch ground\xa0cinnamon', '1 pinch\xa0ground nutmeg', 'Garnishes: ', 'Optional Choices: Whipped cream\xa0(or heavy cream, to taste), ground cinnamon, ground nutmeg, zest of lemon, lime, or orange, chocolate shavings, chocolate syrup, brandied cherries (or maraschino cherries)']",https://www.thespruceeats.com/flaming-spanish-coffee-recipe-4775148,https://www.thespruceeats.com/thmb/yBwzrxHV8EK-k1aopU7ZIh7HtsM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_5981-56a176245f9b58b7d0bf8191.jpg
Mocha,"['4 tablespoons ground coffee', '1/4 cup whole milk', '1 tablespoon heavy cream', '1 tablespoon unsweetened cocoa powder', '1 tablespoon sugar', '1/2 teaspoon vanilla extract', 'Garnish: whipped cream, chocolate shavings']",https://www.thespruceeats.com/mocha-4797918,https://www.thespruceeats.com/thmb/msWd664jluz-xvLc4qRGf66pVTw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/mocha-4797918-05-f664d7225d5a4b14abdeacd2bf48471f.jpg
Cafe Con Leche,"['2 tablespoons coffee', '1/2 cup water', '3 1/2 ounces espresso', '1/2 cup whole milk', '1/2 teaspoon sugar']",https://www.thespruceeats.com/cafe-con-leche-4796804,https://www.thespruceeats.com/thmb/AS3-cxbjDIHrXkKZ5fbZNImNcNU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CafeConLeche-001-cc38d64832bf4dccabaf4cf36645bec2.jpg
Mexican Coffee,"['3/4 cup ground coffee, ', '2 teaspoons ground cinnamon', '5 cups water', '1/2 cup whole milk', '1/2 cup heavy cream', '1/3 cup chocolate syrup', '2 tablespoons brown sugar', '1 teaspoon vanilla extract', '  whipped cream ,   optional, garnish']",https://www.thespruceeats.com/mexican-coffee-4783525,https://www.thespruceeats.com/thmb/fNi0feVRI-7HHClwFiME2XdRP8E=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/mexican-coffee-4783525-07-3c1c51246bff498bbcbc3ea55b8d1930.jpg
Affogato,"['1 scoop vanilla gelato', '2 ounces espresso', 'Grated chocolate']",https://www.thespruceeats.com/affogato-4776668,https://www.thespruceeats.com/thmb/oOeJGjN6KIEmBOAxfPDLmuPaXu8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Affogato-007-6e41d6fd68a943a6b3518b9eb9d4a5e6.jpg
Pumpkin Spice Latte,"['1 cup milk', '2 tablespoons\xa0unsweetened pumpkin puree', '1\xa0tablespoon sugar, or to taste', '1 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '1/8 teaspoon ground cloves', '1/2\xa0teaspoon vanilla', '1/2\xa0cup brewed espresso (or very strongly brewed coffee)', 'Sweetened whipped cream, for topping']",https://www.thespruceeats.com/pumpkin-spice-latte-4174106,https://www.thespruceeats.com/thmb/1PFvjBxGa-p2_z-ZDB_H6wckoZk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/pumpkin-spice-latte-4174106-hero-01-47ecd3d5c0bf442182f349a227e7da41.jpg
Buying a Single Serve Brewer or Coffee Maker,[],https://www.thespruceeats.com/buy-single-serve-coffee-maker-1907357,https://www.thespruceeats.com/thmb/mM8Hj9R64PI3pFOR9BKcLtsRDWA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/take-a-coffee-break-180262732-583380d73df78c6f6afb77fb.jpg
Chocolate-Covered Coffee Beans,"['1 (12-ounce) bag semisweet chocolate chips', '1 teaspoon coconut oil', '1 cup coffee beans', 'Optional: 1/4 cup unsweetened cocoa']",https://www.thespruceeats.com/chocolate-covered-coffee-beans-4780016,https://www.thespruceeats.com/thmb/rau1yaZDLbWgxpFI71fNJ4zN19A=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/chocolate-covered-coffee-beans-4780016-hero-02-4cf7d2a1b7b347e2b6725ac067c249eb.jpg
Vietnamese Iced Coffee (Cà Phê Sữa Dá),"['30 grams ground Vietnamese coffee (about 4 tablespoons)', '600 grams water (about 2 1/2 cups)', 'Sweetened condensed milk (to taste)', 'Ice']",https://www.thespruceeats.com/vietnamese-coffee-4771158,https://www.thespruceeats.com/thmb/pkIkWJe_H_kyx6O9F0dwxUEbdQ0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/vietcoffee-122e434a31864154bfdebbb7f38d0749.jpg
10 Ways to Improve Your Morning Coffee,[],https://www.thespruceeats.com/ways-to-improve-your-morning-coffee-4158872,https://www.thespruceeats.com/thmb/d4_qKAOcFIdbKzGozS3byBBpWOM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Stocksy_txp0d1dfe559zV200_Medium_1940891-86ec21efd3934b539d3cf99dda334851.jpg
18 Knock-Out Iced Coffee Recipes,[],https://www.thespruceeats.com/the-best-iced-coffee-recipes-4163564,https://www.thespruceeats.com/thmb/l-CfG-hejaxrti6NGEW6tXkAkQg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/sombrero-drink-recipe-759459-hero-01-5bdb1bca46e0fb005185072c.jpg
The 10 Drinks That Defined the 2010s,[],https://www.thespruceeats.com/2010s-top-trending-drinks-4777284,https://www.thespruceeats.com/thmb/4uYRFkwWZXXbgpwZJw6atj5_yiQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/2010s-top-trending-drinks-4777284_final4-8e4948e19ea348578fc773d2ae5a5ec0.gif
Keto Pumpkin Spice Latte,"['2 shots espresso', '2 tablespoons pumpkin puree', '1/3 cup heavy cream', '1/4 cup whole milk', '1/2 teaspoon pumpkin pie spice', '1 tablespoon erythritol', 'Garnish: Whipped cream, ground cinnamon']",https://www.thespruceeats.com/keto-pumpkin-spice-latte-4771104,https://www.thespruceeats.com/thmb/1wfAyEcDjlt1woLdo2iPCYnEOyY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/keto-pumpkin-spice-latte-4771104-05-8f54b4d407cb40279ae027b8d1add285.jpg
No Churn Coffee Ice Cream,"['1/4 cup water', '2 tablespoons espresso', '1  (14-ounce)\xa0can sweetened condensed milk', '1 teaspoon vanilla extract', 'Pinch fine salt', '2 cups heavy cream']",https://www.thespruceeats.com/coffee-ice-cream-4169403,https://www.thespruceeats.com/thmb/ofmGM50jy4q1FAP2bj2l_V0fCrc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/coffee-ice-cream-4169403-hero-04-2e1ff49f3b534c6590c9e89c34371e1c.jpg
11 Cozy Hot Coffee Cocktails,[],https://www.thespruceeats.com/simple-hot-coffee-cocktail-recipes-4150752,https://www.thespruceeats.com/thmb/8j7ZxNn9eJJU9Pc6Oi4Q_3DTXrg=/5472x3648/filters:no_upscale():max_bytes(150000):strip_icc()/original-irish-coffee-recipe-759311-Hero-5b759d4b46e0fb005089915e.jpg
Copycat Maple Pecan Latte,"['For the Maple Pecan Syrup:', '1/4 cup maple syrup', '1/4 cup pecan butter', '2 tablespoons brown sugar', '1/2 tablespoon butter', '1/3 cup heavy cream', '1 teaspoon vanilla extract', 'For the Latte:', '1 shot espresso', '2 tablespoons maple pecan syrup', '1/2 cup steamed milk', 'Garnish: Whipped cream (store-bought or homemade)', 'Garnish: Chopped toasted pecans']",https://www.thespruceeats.com/maple-pecan-latte-4778954,https://www.thespruceeats.com/thmb/SGkLou30cAXZrj4N5lCDFwTqgP4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Maple-Pecan-Latte-FINAL-10-5061ef81d9cd440aa40c8004ffe2270f.jpg
White Chocolate Mocha,"['3/4 cup milk (whole or low-fat)', '3 tablespoons white chocolate chips', '1/2 cup prepared coffee', 'Optional: 1 teaspoon sugar', 'Garnish: Fresh whipped cream', 'Garnish: dusting of ground nutmeg']",https://www.thespruceeats.com/white-chocolate-mocha-4177003,https://www.thespruceeats.com/thmb/54gY1oTpz3l8BhTGNVcghITZxYY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/aIMG_2287fhor-5bbfe808c9e77c00512728b5.jpg
Difference Between Paper and Permanent Coffee Filters,[],https://www.thespruceeats.com/paper-filters-permanents-filters-coffee-makers-1907386,https://www.thespruceeats.com/thmb/YYIduKokknhzxWijoXm4iOqsNdk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/glass-containing-filter-paper-and-ground-coffee-650030261-5a87d0af1d6404003798fe60.jpg
11 Impressive Coffee Liquor Cocktails,[],https://www.thespruceeats.com/coffee-liquor-cocktail-recipes-4151064,https://www.thespruceeats.com/thmb/5Pa4Nmr8bc3WTZQEyY8oISnJlzk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CoffeeCocktail-GettyImages-102889656-570bc3945f9b5814082d40cb.jpg
How to Make Authentic Greek Coffee,[],https://www.thespruceeats.com/how-to-make-greek-coffee-1706012,https://www.thespruceeats.com/thmb/3TUDRLEuAb-FfsDECNrDHoZOjq0=/3504x2337/filters:no_upscale():max_bytes(150000):strip_icc()/greek-coffee-109861739-581a0afb5f9b581c0b9230d9.jpg
2 Coffee Cocktails You Need to Try,[],https://www.thespruceeats.com/3-coffee-cocktails-you-need-to-try-4134421,https://www.thespruceeats.com/thmb/daF12802Fyt5jJyELmQQxhhu-JA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/3_coffee_cocktails-58ee667f5f9b582c4db2324c.jpg
Turkish Coffee,"['5 to 6 ounces water', '2 tablespoons ground coffee', '1 to 3 teaspoons sugar']",https://www.thespruceeats.com/turkish-coffee-recipe-2355497,https://www.thespruceeats.com/thmb/5g_NsAeJv9jUjFW-3v830Abli1Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/turkish-coffee-recipe-2355497-hero-02-b14bd83fe6114322af9d8040801e8391.jpg
The Perfect Cappuccino,"['2 tablespoons finely ground dark roast coffee', '4 ounces water', '4 ounces milk']",https://www.thespruceeats.com/how-to-make-cappuccinos-766116,https://www.thespruceeats.com/thmb/DWhiIPBDVVq29pcjpAzkLX3HDso=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-to-make-cappuccinos-766116-hero-01-a754d567739b4ee0b209305138ecb996.jpg
Kentucky Coffee,"['1 ounce bourbon whiskey', '1/2 ounce honey liqueur ', '6 ounces coffee', 'Whipped cream']",https://www.thespruceeats.com/kentucky-coffee-with-bourbon-and-honey-4119064,https://www.thespruceeats.com/thmb/Gm4K0PRFwqyABYiWFxU9XnIbpC4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/KentuckyCoffee_006-5bf8053546e0fb005113affd.jpg
"Words for ""Coffee"" Around the World",[],https://www.thespruceeats.com/global-words-for-coffee-765840,https://www.thespruceeats.com/thmb/wkSvrzYe76La---KF08UguW21g0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-1007194468-6afae9f5254649d09484a422aadf457a.jpg
