drink_name,recipe,recipe_url,url_of_image
Copycat Orange Julius Smoothie,"['1 large banana (frozen)', '3/4 cup orange juice', '1/4 cup whole milk', '1/4 teaspoon vanilla extract', 'Garnish: orange slice']",https://www.thespruceeats.com/copycat-orange-julius-smoothie-4078414,https://www.thespruceeats.com/thmb/5ZskqkYqJ7MVqpetRsC_jVrSLYs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/copycat-orange-julius-smoothie-4078414-hero-02-5c391e41c9e77c000150a7ca.jpg
Green Pear Smoothie,"['1 medium banana', '1 medium pear', '2/3 cup almond milk', '2 to 4 slices ginger', '2 tablespoons honey', '1/2 teaspoon pure vanilla extract', '1/4 teaspoon ground cinnamon', '1 1/2 cups kale', '1 cup ice']",https://www.thespruceeats.com/green-pear-smoothie-4767282,https://www.thespruceeats.com/thmb/B7le3SqWjmjDNKAOvgSlGtoRrpY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/PearKaleSmoothie-008-6ef8b329bba748e09d22c3e333661caf.jpg
Vegan Chocolate Peanut Butter Banana Smoothie,"['2 bananas', '3 to 4 tablespoons cocoa powder', '1 tablespoon maple syrup', '1/4 cup creamy peanut butter', '3 cups vanilla almond milk', '1/2 cup ice cubes']",https://www.thespruceeats.com/vegan-chocolate-peanut-butter-banana-smoothie-1000994,https://www.thespruceeats.com/thmb/OwblBNtiTztEaMsfm1egylbf-uo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/vegan-chocolate-peanut-butter-banana-smoothie-1000994-hero-02-5c55ec33c9e77c00016b35b5.jpg
Watermelon Juice,"['1/4 mini\xa0 watermelon', '1 carrot', '1/4 beet, ', '1 stalk celery', '1/2 inch wheatgrass', '1 sprig fresh\xa0 mint']",https://www.thespruceeats.com/watermelon-juice-recipe-to-burn-fat-2078407,https://www.thespruceeats.com/thmb/HoC6fHimaDJdNkgd3XxeWdxJhZA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/watermelon-juice-recipe-to-burn-fat-2078407-hero-03-5754d230d6304eed951d94968c6173b8.jpg
Matcha Green Tea Smoothie,"['1 frozen banana (preferably a very ripe banana, peeled)', '1/2 cup low-fat milk (or coconut milk creamer\xa0or another dairy alternative)', '1/2 teaspoon good-quality matcha powder', 'Optional: 1/4 teaspoon pure vanilla extract', 'Optional: sweetener (to taste)']",https://www.thespruceeats.com/matcha-green-tea-smooothie-recipe-765400,https://www.thespruceeats.com/thmb/xAvzR8AlLK0j4B41Anxy0w84rQ0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/matcha-green-tea-smooothie-recipe-765400-hero-01-5bdcc9bd46e0fb0051965bf1.jpg
Low-Calorie Blueberry Smoothie,"['6 ounces  low-fat blueberry yogurt ', '1/2 cup ice', '1/4 cup blueberries', 'Handful blueberries']",https://www.thespruceeats.com/blueberry-smoothie-recipe-2238438,https://www.thespruceeats.com/thmb/UBswc9HbbgwUMu1AaCJHk_2ej-A=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/blueberry-smoothie-2238438-16_Hero_1-0901a8305220460da963ef7b210629ea.jpg
Soursop Juice and Smoothie,"['1 (16-ounce) package soursop', '1 cup diced  fresh pineapple', '2 cups diced \xa0 fresh\u200b coconut', '4  large  kale , ', '1-inch  piece  fresh  ginger , peeled', '1  cup  water ']",https://www.thespruceeats.com/soursop-juice-and-smoothie-recipe-2078388,https://www.thespruceeats.com/thmb/Ejc1Mb0NUSyuEc8cqLQULI-u9mY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/soursop-juice-and-smoothie-recipe-2078388-hero-02-af38659745fa45dabafa7f4c163ef1b4.jpg
Avocado Mango Smoothie,"['1 fully ripened avocado, halved, pitted and peeled', '2 cups frozen mango cubes (not thawed)', '1 cup orange juice']",https://www.thespruceeats.com/avocado-mango-smoothie-recipe-3377400,https://www.thespruceeats.com/thmb/uPetCsnupIOm8JplPVvFNiTYKRI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/avocado-mango-smoothie-recipe-3377400-hero-01-5c8d20e846e0fb0001770069.jpg
Strawberry Smoothie,"['2 cups frozen strawberries', '1/2 cup cranberry-raspberry juice', '1/4 cup orange juice', '1/2 cup vanilla yogurt', '2 large fresh strawberries, garnish']",https://www.thespruceeats.com/strawberry-breakfast-smoothie-recipe-2097149,https://www.thespruceeats.com/thmb/0fT9dd4lojOJtd8FpMl3kD-Evak=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/strawberry-breakfast-smoothie-recipe-2097149-hero-02-5c1d4b2a46e0fb00014bf2ec.jpg
Coconut Raspberry Crush Smoothie,"['1 can of coconut milk (light or regular)', '1 cup of raspberries (frozen)', '1/3\xa0cup of orange juice (no pulp works best)', '1 Tablespoon of honey', '1 cup of ice ( you can also add a frozen banana)']",https://www.thespruceeats.com/coconut-raspberry-crush-smoothie-4078415,https://www.thespruceeats.com/thmb/WvlRx9L_8K1wReqZhBYf48QO_6E=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/coconut-raspberry-smoothie-578d5d035f9b584d203a5e36.jpg
Papaya Smoothie (Batida de Lechosa),"['1 large  ripe papaya', '1/2 cup milk', '3 tablespoons freshly squeezed lime juice', '1/2 teaspoon lime zest', '1/4 cup granulated sugar', '1/2 teaspoon vanilla extract', '1/2 cup ice', 'Lime wedges']",https://www.thespruceeats.com/papaya-and-milk-smoothie-refresco-de-papaya-2137811,https://www.thespruceeats.com/thmb/kyrQYJIcTYe3zef08lAJhiYs2kA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/papaya-and-milk-smoothie-refresco-de-papaya-2137811-hero-01-3098eb12a0594bf0986a91fff69f6c3d.jpg
Raw Food Green Kale Smoothie,"['2 cups banana', '2 cups orange juice', '1 1/2 cups kale', '1/4 cup parsley', '1/4 cup cilantro', '1/4 cup mint leaves']",https://www.thespruceeats.com/raw-food-green-kale-smoothie-3377470,https://www.thespruceeats.com/thmb/qufvjBP266cXM2--DIN8_ToAjKI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/raw-food-green-kale-smoothie-3377470-hero-01-516cc37432204c06ac315251dc84e638.jpg
Banana Tahini Smoothie,"['1 frozen banana', '1 cup plain Greek style yogurt', '1/2\xa0cup milk', '2 tablespoons honey', '2 tablespoons tahini (sesame paste)', '1/4 teaspoon cinnamon', 'Pinch of salt', '4 large ice cubes']",https://www.thespruceeats.com/banana-tahini-smoothie-4126014,https://www.thespruceeats.com/thmb/vTBrw1QfzTs3TM9jNTtoOsPgNmQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/aIMG_5966fsq-588f64ca5f9b5874ee1d8127.jpg
Apple Juice,"['6 pounds apples ', 'sugar', '2 cinnamon sticks']",https://www.thespruceeats.com/apple-juice-5077507,https://www.thespruceeats.com/thmb/lG5dWc9SbQ9GaVT2ZSdUhZNlbHg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/apple-juice-5077507-hero-204f0b005e7945c381676106b9016060.jpg
Acai and Berry Smoothie,"['1 1/2 cups mixed fruits', '1 cup almond milk', '4 tablespoons acai powder']",https://www.thespruceeats.com/acai-and-berry-smoothie-recipe-4165473,https://www.thespruceeats.com/thmb/1t9NAvVdCTnNmVNa7e3FvEoPHNg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AcaiSmoothieRecipeLSSpruce-5b02d7236bf0690036b5cf7b.jpg
Dairy-Free Cacao Almond Bliss Smoothie,"['2 cups unsweetened almond milk', '1 tablespoon raw cacao powder', '1 tablespoon almond butter', '1 medium banana', '1 tablespoon honey', '1 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon']",https://www.thespruceeats.com/cacao-almond-bliss-smoothie-2254288,https://www.thespruceeats.com/thmb/JU6OWanSOUNtUj2h-HNfYUAg-zY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/cacao-almond-bliss-smoothie-2254288-hero-2-28a6c95a92be4d4ba1db9f74051cb500.jpg
Tropical Raspberry Smoothie,"['1/2 cup frozen raspberries', '1/2 cup frozen pineapple chunks', '1 banana (fresh or frozen)', '1 cup orange pineapple juice', 'Optional: 1/2 cup of yogurt']",https://www.thespruceeats.com/tropical-raspberry-smoothie-4121216,https://www.thespruceeats.com/thmb/iGeNFE9KrYoEE8KprmdDNogxdus=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/tropical-raspberry-smoothie-5887d3015f9b58bdb389d3c9.jpg
Blueberry Tofu Smoothie,"['6 ounces silken  tofu', '1 medium  banana', '2/3 cup soy milk', '1 cup blueberries, frozen ', '1 tablespoon honey', '2 to 3 ice cubes']",https://www.thespruceeats.com/blueberry-tofu-smoothie-recipe-695280,https://www.thespruceeats.com/thmb/tJEuh6jvkHLcgFepDHnkIEuKqCc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/blueberry-tofu-smoothie-recipe-695280-Hero_01-7872ad3697104b3c8bcf370119a61c12.jpg
Low-Calorie Vegetable Smoothie,"['1 1/2 cups tomato juice', '1/3 cup carrot juice', '1 stalk celery (with leaves)', '1/2 cup spinach leaves', '1/2\xa0cucumber\xa0(peeled)', '1 cup ice', 'Garnish: slice of cucumber or celery stalk']",https://www.thespruceeats.com/low-calorie-vegetable-smoothie-2238432,https://www.thespruceeats.com/thmb/LblYI5amxt1TGej2zhIwINkK_II=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/low-calorie-vegetable-smoothie-2238432-hero-01-5c55f535c9e77c0001d0019e.jpg
Fresh Mango Smoothie With Yogurt,"['1 cup  diced mango', '1 cup plain nonfat\xa0 yogurt', '1/2 cup ice', 'Milk']",https://www.thespruceeats.com/fresh-mango-smoothie-with-yogurt-3051561,https://www.thespruceeats.com/thmb/ykrweLVuuc6YNHbCWGBn3l54AOI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/fresh-mango-smoothie-with-yogurt-3051561-hero-01-619be016801b4eb2ab816d87ca19b09f.jpg
Fig and Honey Smoothie,"['4 medium figs', '1/2 medium banana', '7 to 8 ounces yogurt', '1 tablespoon honey', '1 pinch salt', '1/4 to 1/2 cup milk,']",https://www.thespruceeats.com/fig-and-honey-smoothie-4067913,https://www.thespruceeats.com/thmb/fCevFlaciuOasPcJvYQbsjGuruY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_4435fq-579d3acf5f9b589aa98bcea3.jpg
Mixed Berry Smoothie,"['3/4 cup orange juice', '1 cup berries (fresh or frozen)', '1/2 cup plain unsweetened yogurt']",https://www.thespruceeats.com/mixed-berry-smoothie-2216234,https://www.thespruceeats.com/thmb/u-BmLXZfP9FLwkRkGkzbk4YkV28=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/mixed-berry-smoothie-2216234-6-6-5b0d9af28023b90036ea9df2.jpg
Watermelon Smoothie,"['1 medium seedless watermelon', '1 cup almond milk', '1/2 cup vanilla yogurt', '3 tablespoons maple syrup', '2 small wedges watermelon', '2 sprigs mint']",https://www.thespruceeats.com/rich-creamy-watermelon-smoothie-recipe-2097116,https://www.thespruceeats.com/thmb/-sjHGL24Vtp0FG2YlS9OSfTv0d4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/rich-creamy-watermelon-smoothie-recipe-2097116-hero-1-37c9956f614c4803add38076e3ca1c82.JPG
Pineapple Smoothie,"['\xa04 cups of ice', '1 cup of pineapple (freshly cut)', '1 large banana', '1/3 cup limeade (pineapple juice also works)', 'Garnish: sliced pineapple']",https://www.thespruceeats.com/pineapple-smoothie-4174395,https://www.thespruceeats.com/thmb/ZHP9TRNUVUfFDxQSnzhenXEBchA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/pineapplesmoothie-5b85764f46e0fb0050a82a81.jpg
Banana Date Smoothie with Ginger and Cardamom,"['1\xa0large frozen banana', '8 oz plain Greek style yogurt', '2\xa0pitted dates', '1 inch\xa0piece fresh ginger, peeled', '1/4 cup milk', '1/4 teaspoon ground cardamom', '1 pinch salt']",https://www.thespruceeats.com/banana-date-smoothie-2355748,https://www.thespruceeats.com/thmb/-RZngxk2tZLiAGI15s9134B2PYs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/aIMG_2347fsq-56aa9df23df78cf772b4560d.jpg
Blueberry and Spinach Superfood Green Smoothie,"['1 medium banana', '4 ice ', '1/2 cup fresh blueberries', '1/4 cup milk substitute', '1 cup fresh spinach']",https://www.thespruceeats.com/blueberry-and-spinach-superfood-green-smoothie-3377401,https://www.thespruceeats.com/thmb/53oEG7pwvQ_gQjt6yR0yjPAW20I=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/blueberry-and-spinach-superfood-green-smoothie-3377401-hero-02-5c3e78de46e0fb0001a7bea9.jpg
Warm Spiced Apple Juice With Cinnamon and Nutmeg,"['4 cups apple juice', '1 cup water', '1/2 cup brown sugar (packed)', '1/2 lemon (thinly sliced with seeds removed)', '1/2 orange (thinly sliced with seeds removed)', '1 stick cinnamon (more for serving if desired)', '1/4 teaspoon ground nutmeg', 'Garnish: lemon slices']",https://www.thespruceeats.com/fall-spiced-apple-juice-3051541,https://www.thespruceeats.com/thmb/8h5cc9VPSOmSKrpenny-6wYlIs4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/fall-spiced-apple-juice-3051541-hero-01-6fccebc1c2b54863af714f122226f309.jpg
Lychee Smoothie,"['1 banana (peeled and sliced)', '10 canned lychees (gently squeezed to remove excess juice)', '2/3 cup silken tofu', '1/2 cup soy milk', '1/4 cup canned reserved lychee juice', '1/4 cup orange juice', '1 teaspoon vanilla extract', '2 teaspoons honey (or agave nectar, or to taste)', 'Optional: ice cubes']",https://www.thespruceeats.com/smoothie-with-lychee-fruit-4125399,https://www.thespruceeats.com/thmb/GY4muSkPlvSLOP_k976dnKQx5KQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-918032420-a792da5a45be4d808c6ea9bf97fed264.jpg
Carrot Turmeric Ginger Juice,"['5 carrots', '1 apple', '1 thin slice fresh ginger', '1/4 teaspoon turmeric', '2/3 cups water']",https://www.thespruceeats.com/delicious-juice-recipe-with-turmeric-4134201,https://www.thespruceeats.com/thmb/1nMo2WacpIVD4fWkcS8X3BiLONc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/delicious-juice-recipe-with-turmeric-4134201-hero-02-17c0f236b52745f4bc2ca5e83eed3546.jpg
Apple Kiwi Superpower Green Smoothie,"['1 apple, cored and cut into chunks', '1 kiwi, peeled and quartered', '2 cups tender kale leaves, chopped', '1/2 cup cilantro leaves', '1 1/4 inch slice of ginger, peeled and chopped', '1 cup filtered water']",https://www.thespruceeats.com/apple-kiwi-superpower-green-smoothie-recipe-2254290,https://www.thespruceeats.com/thmb/1FybUQ0eioMYlnbvNJKulUCRLKA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/apple-kiwi-superpower-green-smoothie-recipe-2254290-hero-01-2487af8222f642538032504339d4b595.jpg
