drink_name,recipe,recipe_url,url_of_image
Gin and Tonic,"['2 ounces gin', '4 to 6 ounces tonic water', 'Lime wedge']",https://www.thespruceeats.com/gin-and-tonic-recipe-759300,https://www.thespruceeats.com/thmb/8rtDjB-YdRW-RLVCEckIl6uoof8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/gin-tonic-5a8f334b8e1b6e0036a9631d.jpg
Vodka Tonic,"['2 ounces vodka', '1/4 ounce lime juice', '4 to 6 ounces tonic water', 'Lime wedge']",https://www.thespruceeats.com/vodka-tonic-recipe-759840,https://www.thespruceeats.com/thmb/3I1_lLf6mqp1OHV2KG_EkdYKz5M=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/vodka-tonic-recipe-759840-hero-01-06dec13de3cb481b9b70e7886b0c2835.jpg
Whiskey Tonic,"['2 ounces Irish whiskey', '4 to 6 ounces tonic water', 'Lemon wedge']",https://www.thespruceeats.com/leprechaun-cocktail-recipe-761462,https://www.thespruceeats.com/thmb/MLLtNieMDlB61sZ-uXiJj4JHLXk=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/whiskey-tonic-cocktail-recipe-761462-021-c9719c20964a4ff88867c8f6822f8c01.jpg
Strawberry Gin and Tonic,"['1 1/2 ounces gin', '1/2 ounce lime juice', '1/2 ounce strawberry syrup', '1 dash orange bitters', '4 to 5 ounces tonic water', 'Strawberry']",https://www.thespruceeats.com/strawberry-gin-and-tonic-recipe-759066,https://www.thespruceeats.com/thmb/EBsq1ro3ghjzQxBG8W3bvuDh3gc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Strawberry-GinTonic-56a174255f9b58b7d0bf6ad9.jpg
Cherry Gin and Tonic,"['6 ripe sweet cherries', '1/4 cup gin', '2 teaspoons lime juice (or to taste)', 'Tonic water\u200b to taste', 'Sliced lime (optional)']",https://www.thespruceeats.com/cherry-gin-and-tonic-2216220,https://www.thespruceeats.com/thmb/HyH2MhZe-JVffvSNlz3CdzWUmv4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-955452856-af30e2e8241945eeb53da8b96d59cbae.jpg
Autumn Spiced Tonic,"['1 medium red apple', '1 medium pear', '1 (750-milliliter) bottle vodka', '1 cinnamon stick', '1 1/2 ounces vodka', '1 splash simple syrup', '3 to 5 ounces tonic water', 'Apple slice']",https://www.thespruceeats.com/autumn-spiced-tonic-recipe-759087,https://www.thespruceeats.com/thmb/Tj_PCkZStHlm-PuYEeqQ7MDj32c=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/AutumnSpicedTonic-463156413-56a173165f9b58b7d0bf6211.jpg
White Port and Tonic,"['3 ounces of White Port', '3 ounces of Tonic Water', '1 orange slice', '1/2 glass of ice']",https://www.thespruceeats.com/white-port-and-tonic-recipe-3958283,https://www.thespruceeats.com/thmb/fAaX_xl9HCGOugRMR9Q4JaoE4VM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-596104438-58f2e2485f9b582c4dce5c7e.jpg
Vermouth Cassis,"['2 to 3 ounces dry vermouth', '3/4 ounce crème de cassis liqueur', '3 ounces club soda']",https://www.thespruceeats.com/vermouth-cassis-recipe-759272,https://www.thespruceeats.com/thmb/RYovrswJ5c-Zzt2e4IAZddeAUms=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/vermouth-cassis-recipe-759272-hero-01-2ec06572132d494eaad0ef528b97b359.jpg
Royal-Tea,"['1 1/2 ounces London dry gin', '2 ounces Earl Grey tea', '1 splash lemon juice', '1 teaspoon sugar', 'Lemon wheel']",https://www.thespruceeats.com/royal-tea-cocktail-760115,https://www.thespruceeats.com/thmb/eHmJLFFZS7whHhZ4gEdL7QZzWDQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/royal-tea-cocktail-760115-008-46b3b8c7beff41618446b57f6230887c.jpg
Campari and Soda,"['2 ounces Campari', '6 ounces soda water', 'Lemon slice']",https://www.thespruceeats.com/campari-and-soda-cocktail-759268,https://www.thespruceeats.com/thmb/ksoDsaQ7e77fSYXyWUtiG1UYL80=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/campari-and-soda-cocktail-759268-hero-01-d2873694452646ff9b7abd8ef15d2e24.jpg
